Publication	SRA sample ID	SRA run ID(s)	Library layout	Age category	Age	Technology	BAM URLs	Origin of sample	Tissue preservation method	Phenotype
Whelan 2022	SRS9839846	SRR15527521,SRR15527522,SRR15527523,SRR15527524	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839847	SRR15527525,SRR15527526,SRR15527527,SRR15527528	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839848	SRR15527529,SRR15527530,SRR15527531,SRR15527532	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839849	SRR15527533,SRR15527534,SRR15527535,SRR15527536	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839850	SRR15527537,SRR15527538,SRR15527539,SRR15527540	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839851	SRR15527541,SRR15527542,SRR15527543,SRR15527544,SRR15527545,SRR15527546,SRR15527547,SRR15527548	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839852	SRR15527549,SRR15527550,SRR15527551,SRR15527552	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839853	SRR15527553,SRR15527554,SRR15527555,SRR15527556	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	EpCAM+
Whelan 2022	SRS9839877	SRR15527685,SRR15527686,SRR15527687,SRR15527688,SRR15527689,SRR1552790,SRR15527691,SRR15527692	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	Unselected
Whelan 2022	SRS9839878	SRR15527693,SRR15527694,SRR15527695,SRR15527696,SRR15527697,SRR15527698,SRR15527699,SRR15527700	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	Unselected
Whelan 2022	SRS9839879	SRR15527701,SRR15527702,SRR15527703,SRR15527704,SRR15527705,SRR15527706,SRR15527707,SRR15527708	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	Unselected
Whelan 2022	SRS9839880	SRR15527709,SRR15527710,SRR15527711,SRR15527712	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	Unselected
Whelan 2022	SRS9839881	SRR15527713,SRR15527714,SRR15527715,SRR15527716	PAIRED	adult	8-10 weeks	INDROPSV2	NA	postmortem from donor	fresh	Unselected
